Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,115,72,218,137,203,165,1307,760
6x6,BiXIDA,173,214,317,414,407,620,3127,4138
6x7,XIDA,126,96,195,138,415,297,7894,4905
6x7,BiXIDA,301,476,543,800,1290,2054,14120,20080
6x8,XIDA,204,165,1179,874,1308,1126,37942,24574
6x8,BiXIDA,353,573,4355,6922,2693,5278,62502,93591
7x7,XIDA,173,170,1208,1032,1693,1315,30447,21229
7x7,BiXIDA,353,706,2589,4632,5894,9839,70147,113142
7x8,XIDA,339,346,1464,1735,19465,17111,79139,62365
7x8,BiXIDA,803,1628,6331,13225,46456,81966,195853,338371
8x8,XIDA,2606,2649,8354,7792,54007,48408,293095,287654
8x8,BiXIDA,16723,34398,21993,44422,193566,377090,959812,1908840
