Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,XIDA,132,576,207,971,258,1488,1070,5976,,
7x7,BiXIDA,151,575,186,947,242,1354,815,4421,,
7x8,XIDA,239,1301,721,4390,758,5041,2551,16317,,
7x8,BiXIDA,273,1364,766,4320,756,4472,2125,13246,,
7x9,XIDA,348,2170,1066,6596,1693,13155,1654,12006,,
7x9,BiXIDA,458,2338,1004,4829,2730,16565,2275,13882,,
8x8,XIDA,504,2885,854,5648,2597,17144,3559,26481,,
8x8,BiXIDA,430,2490,1052,6469,2159,15357,4049,26699,,
8x9,XIDA,806,6563,2525,19869,7251,59221,17370,138620,,
8x9,BiXIDA,1289,8473,3112,24555,6028,42210,16963,133171,,
9x9,XIDA,2537,20923,6640,51903,8259,77013,26532,269251,,
9x9,BiXIDA,2378,18825,5637,42161,9094,70787,28876,250549,,
