Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,2,3,4
4,BiXIDA,1,2,3,4
5,XIDA,10,78,18,114
5,BiXIDA,19,145,27,191
6,XIDA,4522,142201,4522,142205
6,BiXIDA,6048,244178,6048,244182
