Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,2,3,6,6
4,BiXIDA,2,2,5,3
5,XIDA,15,59,34,98
5,BiXIDA,30,79,30,79
6,XIDA,7203,96904,7203,96906
6,BiXIDA,7720,69957,7720,69958
