Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,1,2319,1,5650,1,24305,1,259505
6x6,BiXDFBnB,106,56,149,89,250,183,1842,1725
6x7,XDFBnB,1,4975,1,34000,1,114231,1,1581478
6x7,BiXDFBnB,121,88,196,186,454,510,8155,7374
6x8,XDFBnB,1,22709,1,303229,1,2118031,,
6x8,BiXDFBnB,133,141,1591,1482,1103,3072,,
7x7,XDFBnB,1,108988,1,561599,,,,
7x7,BiXDFBnB,165,342,1430,1567,,,,
7x8,XDFBnB,1,207347,,,,,,
7x8,BiXDFBnB,370,542,,,,,,
