Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XA*,561,1097,30949,70992,,
13x13,BiXA*,381,773,10840,25165,,
