Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,140,292,230,525,422,1055,1148,3173,-,-
7x7,BiX-DFBnB,1188,985,3162,3134,9222,10069,38778,44922,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,270,692,580,1760,1222,3554,2848,9207,-,-
7x8,BiX-DFBnB,2456,2045,11623,13315,32461,41432,104609,140273,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,461,1238,1223,3200,1855,7374,2577,10204,-,-
7x9,BiX-DFBnB,6430,8086,11570,12528,119502,179040,201954,302665,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,497,1306,684,2363,3099,9202,5001,16598,-,-
8x8,BiX-DFBnB,6314,6537,16721,20354,95886,120662,315731,452361,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,823,2625,2087,7452,7378,28277,20295,86070,-,-
8x9,BiX-DFBnB,10029,11302,62270,86198,370552,572295,1908198,3307425,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,1800,7688,8297,32129,11036,55480,-,-,-,-
9x9,BiX-DFBnB,46128,61159,277177,442094,1266997,2296804,-,-,-,-
