Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,2,2,5,3
5,XA*,35,50,36,50
5,BiXA*,19,44,20,44
6,XA*,6509,35653,6510,35776
6,BiXA*,3630,34133,3631,34738
7,BiXA*,372197,18569359,,
