Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XDFBnB,34,70,56,110,65,163,395,802
6x6,BiXDFBnB,44,116,50,200,85,341,639,2175
6x7,XDFBnB,28,73,54,125,113,276,2488,5551
6x7,BiXDFBnB,46,183,69,266,168,760,3006,12209
6x8,XDFBnB,40,105,309,765,410,1097,11867,25842
6x8,BiXDFBnB,46,182,535,2050,377,1944,12182,50639
7x7,XDFBnB,50,134,354,880,554,1609,8937,21033
7x7,BiXDFBnB,63,314,494,2207,887,4382,10223,43147
7x8,XDFBnB,98,307,397,1173,5639,15344,25307,72720
7x8,BiXDFBnB,127,664,885,4177,7627,34374,30530,152233
8x8,XDFBnB,783,2440,2188,6404,15560,48465,88460,306406
8x8,BiXDFBnB,1879,8492,3342,16153,29533,157149,159236,790450
