grid number,Direction,Expansions,Time [ms]
0,s -> t,"92,948","2,169"
0,t -> s,"54,140","1,284"
0,XMM,"22,455","2,835"
0,s -> t,"128,875","3,065"
0,t -> s,"139,723","3,631"
0,XMM,"56,797","20,386"
0,s -> t,"51,444","1,153"
0,t -> s,"56,575","1,321"
0,XMM,"33,248","5,797"
0,s -> t,"320,837","7,862"
0,t -> s,"167,552","4,333"
0,XMM,"79,260","36,833"
0,s -> t,"90,953","2,265"
0,t -> s,"161,104","4,066"
0,XMM,"27,233","2,630"
0,s -> t,"42,630","1,027"
0,t -> s,"54,722","1,353"
0,XMM,"14,342","1,089"
0,s -> t,"76,814","1,871"
0,t -> s,"91,621","2,200"
0,XMM,"49,047","9,854"
0,s -> t,"99,246","2,456"
0,t -> s,"150,175","4,038"
0,XMM,"31,014","3,117"
0,s -> t,"20,835",468
0,t -> s,"31,119",756
0,XMM,"12,783","1,236"
0,s -> t,"115,882","2,636"
0,t -> s,"133,259","3,313"
0,XMM,"73,158","50,669"
