grid number,Direction,Expansions,Time [ms]
0,s -> t,176,96
0,t -> s,176,85
0,XMM,108,76
0,s -> t,24,11
0,t -> s,140,83
0,XMM,118,77
0,s -> t,162,85
0,t -> s,63,39
0,XMM,100,85
0,s -> t,24,11
0,t -> s,24,17
0,XMM,125,84
0,s -> t,86,66
0,t -> s,144,82
0,XMM,66,48
0,s -> t,24,14
0,t -> s,24,22
0,XMM,125,86
0,s -> t,176,93
0,t -> s,176,88
0,XMM,105,73
0,s -> t,176,119
0,t -> s,176,131
0,XMM,105,71
0,s -> t,87,56
0,t -> s,185,109
0,XMM,64,88
0,s -> t,162,93
0,t -> s,63,45
0,XMM,103,73
