grid number,Direction,Expansions,Time [ms]
0,s -> t,25,29
0,t -> s,25,36
0,XMM,32,47
0,s -> t,37,23
0,t -> s,17,15
0,XMM,15,33
0,s -> t,28,31
0,t -> s,62,42
0,XMM,37,53
0,s -> t,51,44
0,t -> s,45,42
0,XMM,70,68
0,s -> t,88,55
0,t -> s,22,25
0,XMM,54,100
0,s -> t,58,61
0,t -> s,60,59
0,XMM,88,109
0,s -> t,104,80
0,t -> s,95,89
0,XMM,130,118
0,s -> t,26,27
0,t -> s,20,18
0,XMM,27,42
0,s -> t,25,30
0,t -> s,26,30
0,XMM,32,48
0,s -> t,79,61
0,t -> s,35,42
0,XMM,52,64
