grid number,Direction,Expansions,Time [ms]
0,s -> t,293,190
0,t -> s,290,174
0,XMM,279,187
0,s -> t,164,115
0,t -> s,221,128
0,XMM,126,90
0,s -> t,28,20
0,t -> s,156,104
0,XMM,110,96
0,s -> t,32,25
0,t -> s,53,43
0,XMM,45,44
0,s -> t,91,59
0,t -> s,172,118
0,XMM,86,66
0,s -> t,168,98
0,t -> s,32,21
0,XMM,280,169
0,s -> t,30,22
0,t -> s,30,21
0,XMM,210,165
0,s -> t,102,61
0,t -> s,197,122
0,XMM,218,146
0,s -> t,99,63
0,t -> s,32,22
0,XMM,128,91
0,s -> t,507,326
0,t -> s,465,269
0,XMM,290,205
