grid number,Direction,Expansions,Time [ms]
0,s -> t,"4,545",254
0,t -> s,"3,449",192
0,XMM,"2,967",297
0,s -> t,"2,606",147
0,t -> s,"2,824",180
0,XMM,"1,575",130
0,s -> t,"5,706",328
0,t -> s,"2,409",216
0,XMM,"2,837",408
0,s -> t,"1,128",79
0,t -> s,"2,477",173
0,XMM,"3,708",429
0,s -> t,"2,033",141
0,t -> s,"2,293",156
0,XMM,"1,204",113
0,s -> t,"2,051",163
0,t -> s,889,65
0,XMM,"1,196",109
0,s -> t,"2,963",175
0,t -> s,"4,381",259
0,XMM,"3,689",421
0,s -> t,"2,018",122
0,t -> s,"2,311",143
0,XMM,"1,097",101
0,s -> t,"1,425",81
0,t -> s,433,35
0,XMM,"1,372",119
0,s -> t,"8,731",492
0,t -> s,"9,972",606
0,XMM,"6,916",745
