grid number,Direction,Expansions,Time [ms]
0,s -> t,"1,826","1,339"
0,t -> s,"1,359",945
0,XMM,921,716
0,s -> t,"1,532","1,141"
0,t -> s,"5,468","3,874"
0,XMM,"1,538","1,250"
0,s -> t,"5,469","3,758"
0,t -> s,"1,532","1,063"
0,XMM,"2,489","2,083"
0,s -> t,36,30
0,t -> s,36,31
0,XMM,"1,144","1,037"
0,s -> t,"4,873","3,310"
0,t -> s,"5,512","3,932"
0,XMM,"2,501","2,189"
0,s -> t,"4,873","3,288"
0,t -> s,"5,512","3,813"
0,XMM,"2,501","2,048"
0,s -> t,36,30
0,t -> s,36,30
0,XMM,"1,139",926
0,s -> t,"1,359","1,022"
0,t -> s,"1,826","1,345"
0,XMM,703,559
0,s -> t,"6,775","4,416"
0,t -> s,"6,102","4,517"
0,XMM,"2,766","2,152"
0,s -> t,"5,512","3,830"
0,t -> s,"4,873","3,579"
0,XMM,"2,592","2,139"
