grid number,Direction,Expansions,Time [ms]
0,s -> t,695,661
0,t -> s,502,403
0,XMM,585,555
0,s -> t,876,743
0,t -> s,389,321
0,XMM,668,577
0,s -> t,"1,253","1,127"
0,t -> s,424,377
0,XMM,850,811
0,s -> t,44,37
0,t -> s,51,45
0,XMM,182,164
0,s -> t,44,39
0,t -> s,69,65
0,XMM,222,203
0,s -> t,"3,507","3,121"
0,t -> s,"1,427","1,296"
0,XMM,"1,923","2,024"
0,s -> t,"6,099","5,952"
0,t -> s,"1,956","1,727"
0,XMM,"3,276","3,042"
0,s -> t,"1,755","1,554"
0,t -> s,586,527
0,XMM,991,"1,095"
0,s -> t,"1,190","1,086"
0,t -> s,681,601
0,XMM,851,803
0,s -> t,"1,347","1,238"
0,t -> s,"1,822","1,602"
0,XMM,897,874
