grid number,Direction,Expansions,Time [ms]
0,s -> t,"4,071",170
0,t -> s,"6,314",268
0,XMM,"2,158",235
0,s -> t,"11,638",379
0,t -> s,"1,797",70
0,XMM,639,63
0,s -> t,"4,688",167
0,t -> s,"9,939",366
0,XMM,"1,822",215
0,s -> t,883,53
0,t -> s,536,37
0,XMM,697,61
0,s -> t,"3,514",188
0,t -> s,724,50
0,XMM,"2,210",199
0,s -> t,970,61
0,t -> s,"1,859",105
0,XMM,937,117
0,s -> t,"2,000",118
0,t -> s,"2,082",126
0,XMM,"1,906",168
0,s -> t,"7,455",251
0,t -> s,274,9
0,XMM,607,68
0,s -> t,750,52
0,t -> s,"1,663",100
0,XMM,"1,296",165
0,s -> t,"1,653",98
0,t -> s,"3,044",168
0,XMM,"2,063",184
