grid number,Direction,Expansions,Time [ms]
0,s -> t,"6,369",122
0,t -> s,"6,630",124
0,XMM,"4,408",223
0,s -> t,"5,287",115
0,t -> s,"6,053",118
0,XMM,"2,008",95
0,s -> t,"4,736",85
0,t -> s,"3,993",76
0,XMM,"2,627",119
0,s -> t,"3,231",62
0,t -> s,"3,231",64
0,XMM,"2,122",91
0,s -> t,"3,049",57
0,t -> s,"1,335",29
0,XMM,"1,250",54
0,s -> t,"6,369",117
0,t -> s,"6,630",125
0,XMM,"4,408",221
0,s -> t,"6,100",115
0,t -> s,"6,100",113
0,XMM,"3,807",204
0,s -> t,"3,268",61
0,t -> s,"3,268",64
0,XMM,"1,436",63
0,s -> t,"5,404",95
0,t -> s,"3,445",69
0,XMM,"2,473",119
0,s -> t,"5,510",104
0,t -> s,"5,510",104
0,XMM,"4,174",255
