grid number,Direction,Expansions,Time [ms]
0,s -> t,897,518
0,t -> s,822,544
0,XMM,364,265
0,s -> t,22,11
0,t -> s,22,18
0,XMM,30,32
0,s -> t,72,59
0,t -> s,22,16
0,XMM,69,69
0,s -> t,107,61
0,t -> s,56,34
0,XMM,116,76
0,s -> t,28,17
0,t -> s,28,18
0,XMM,68,65
0,s -> t,94,68
0,t -> s,228,142
0,XMM,80,85
0,s -> t,154,94
0,t -> s,58,43
0,XMM,121,87
0,s -> t,95,49
0,t -> s,39,30
0,XMM,43,39
0,s -> t,25,17
0,t -> s,24,18
0,XMM,68,70
0,s -> t,114,85
0,t -> s,258,164
0,XMM,125,98
