grid number,Direction,Expansions,Time [ms]
0,s -> t,"32,927",736
0,t -> s,"32,927",683
0,XMM,"10,966",840
0,s -> t,"13,527",258
0,t -> s,"10,543",224
0,XMM,"5,162",285
0,s -> t,"17,805",357
0,t -> s,"19,199",435
0,XMM,"8,007",515
0,s -> t,"19,364",422
0,t -> s,"20,385",407
0,XMM,"9,054",624
0,s -> t,"15,110",295
0,t -> s,"13,646",289
0,XMM,"5,077",310
0,s -> t,"19,364",424
0,t -> s,"20,385",525
0,XMM,"9,054",695
0,s -> t,"32,927",668
0,t -> s,"32,927",685
0,XMM,"10,966",891
0,s -> t,"32,927",666
0,t -> s,"32,927",682
0,XMM,"10,966",864
0,s -> t,"18,046",351
0,t -> s,"29,899",634
0,XMM,"7,057",470
0,s -> t,"17,805",336
0,t -> s,"19,199",383
0,XMM,"8,007",501
