grid number,Direction,Expansions,Time [ms]
0,s -> t,445,32
0,t -> s,453,35
0,XMM,351,35
0,s -> t,166,5
0,t -> s,35,1
0,XMM,287,27
0,s -> t,328,20
0,t -> s,434,33
0,XMM,280,25
0,s -> t,912,46
0,t -> s,912,50
0,XMM,700,54
0,s -> t,196,7
0,t -> s,556,31
0,XMM,360,34
0,s -> t,445,20
0,t -> s,453,29
0,XMM,351,44
0,s -> t,519,23
0,t -> s,519,48
0,XMM,356,67
0,s -> t,638,43
0,t -> s,637,38
0,XMM,479,50
0,s -> t,497,28
0,t -> s,313,14
0,XMM,256,26
0,s -> t,777,39
0,t -> s,777,44
0,XMM,781,67
