algorithm,8x8 16% Expansions,8x8 16% Time,8x8 12% Expansions,8x8 12% Time,8x8 8% Expansions,8x8 8% Time,8x8 4% Expansions,8x8 4% Time,8x9 16% Expansions,8x9 16% Time,8x9 12% Expansions,8x9 12% Time,8x9 8% Expansions,8x9 8% Time,8x9 4% Expansions,8x9 4% Time,8x10 16% Expansions,8x10 16% Time,8x10 12% Expansions,8x10 12% Time,8x10 8% Expansions,8x10 8% Time,8x10 4% Expansions,8x10 4% Time,9x9 16% Expansions,9x9 16% Time,9x9 12% Expansions,9x9 12% Time,9x9 8% Expansions,9x9 8% Time,9x9 4% Expansions,9x9 4% Time,9x10 16% Expansions,9x10 16% Time,9x10 12% Expansions,9x10 12% Time,9x10 8% Expansions,9x10 8% Time,9x10 4% Expansions,9x10 4% Time,10x10 16% Expansions,10x10 16% Time,10x10 12% Expansions,10x10 12% Time,10x10 8% Expansions,10x10 8% Time,10x10 4% Expansions,10x10 4% Time
A*,834,2073,3467,7223,5279,13615,15925,46259,2198,5304,5860,15726,18995,53094,46250,155338,4967,22766,27824,152266,39378,253536,133784,943536,6737,17240,11243,35915,34211,118926,120303,452063,13533,62062,39583,219581,97491,567948,396170,2821442,36976,338704,166054,1744218,313742,2184692,1560944,11497125
XMM,792,2192,2175,6658,4079,13705,12918,46495,1747,5659,4347,15580,14176,53350,39451,163428,3570,22703,15102,121890,34965,283199,107221,1006286,4528,16603,8301,33378,25757,111342,97990,484313,9113,62360,30230,227709,70146,551552,320552,3377588,19346,259120,95007,1443710,230135,2350115,1139025,19550219
