grid number,Direction,Expansions,Time [ms]
0,s -> t,"4,643","25,392"
0,t -> s,"3,660","20,117"
0,XMM,"2,866","19,498"
0,s -> t,403,"2,689"
0,t -> s,101,608
0,XMM,364,"2,620"
0,s -> t,237,"1,340"
0,t -> s,175,983
0,XMM,183,"1,161"
0,s -> t,42,200
0,t -> s,43,208
0,XMM,54,343
0,s -> t,555,"3,663"
0,t -> s,516,"2,930"
0,XMM,450,"3,280"
0,s -> t,40,208
0,t -> s,485,"3,013"
0,XMM,449,"2,956"
0,s -> t,171,982
0,t -> s,122,694
0,XMM,226,"1,476"
0,s -> t,642,"3,769"
0,t -> s,832,"5,156"
0,XMM,700,"4,643"
0,s -> t,39,202
0,t -> s,193,"1,187"
0,XMM,189,"1,282"
0,s -> t,"1,104","6,774"
0,t -> s,263,"1,533"
0,XMM,643,"4,533"
