grid number,Direction,Expansions,Time [ms]
0,s -> t,"74,336","625,583"
0,t -> s,"58,692","516,931"
0,XMM,"38,931","394,577"
0,s -> t,"3,221","25,883"
0,t -> s,"14,110","124,409"
0,XMM,"5,247","50,223"
0,s -> t,"10,132","95,283"
0,t -> s,"18,083","169,521"
0,XMM,"5,632","62,966"
0,s -> t,"2,890","25,435"
0,t -> s,"6,236","52,395"
0,XMM,"2,140","20,886"
0,s -> t,"3,783","32,625"
0,t -> s,"2,154","18,285"
0,XMM,"2,681","25,344"
0,s -> t,"5,755","47,676"
0,t -> s,"4,957","40,317"
0,XMM,"4,319","41,293"
0,s -> t,"4,941","45,654"
0,t -> s,"3,929","35,967"
0,XMM,"2,962","29,466"
0,s -> t,53,393
0,t -> s,53,398
0,XMM,"15,832","164,759"
0,s -> t,56,422
0,t -> s,60,465
0,XMM,"7,062","68,796"
0,s -> t,"27,399","244,345"
0,t -> s,"23,420","206,124"
0,XMM,"12,664","136,058"
