grid number,Direction,Expansions,Time [ms]
0,s -> t,"2,595","19,633"
0,t -> s,"1,023","7,816"
0,XMM,"1,728","14,608"
0,s -> t,"1,506","11,793"
0,t -> s,52,373
0,XMM,"3,853","34,370"
0,s -> t,"4,202","30,513"
0,t -> s,612,"4,679"
0,XMM,"2,510","20,755"
0,s -> t,"17,853","136,426"
0,t -> s,"17,187","126,698"
0,XMM,"9,210","84,807"
0,s -> t,"22,468","159,625"
0,t -> s,"22,507","159,670"
0,XMM,"9,561","77,753"
0,s -> t,"14,078","113,431"
0,t -> s,"5,857","44,610"
0,XMM,"11,697","105,353"
0,s -> t,49,328
0,t -> s,87,619
0,XMM,"2,286","20,404"
0,s -> t,63,446
0,t -> s,224,"1,700"
0,XMM,"15,794","146,863"
0,s -> t,"3,584","28,030"
0,t -> s,"7,324","56,686"
0,XMM,"2,247","19,497"
0,s -> t,412,"3,264"
0,t -> s,326,"2,169"
0,XMM,389,"3,309"
