grid number,Direction,Expansions,Time [ms]
0,s -> t,"1,600","8,173"
0,t -> s,"1,014","5,159"
0,XMM,821,"4,895"
0,s -> t,"1,217","5,887"
0,t -> s,512,"2,477"
0,XMM,764,"4,339"
0,s -> t,"1,460","7,177"
0,t -> s,930,"4,617"
0,XMM,796,"4,491"
0,s -> t,"1,546","7,710"
0,t -> s,612,"3,175"
0,XMM,838,"5,098"
0,s -> t,694,"3,401"
0,t -> s,532,"2,657"
0,XMM,412,"2,341"
0,s -> t,34,152
0,t -> s,34,154
0,XMM,713,"4,167"
0,s -> t,"1,368","6,857"
0,t -> s,596,"3,051"
0,XMM,792,"4,549"
0,s -> t,34,149
0,t -> s,"1,072","5,437"
0,XMM,818,"4,598"
0,s -> t,"1,217","5,893"
0,t -> s,512,"2,482"
0,XMM,764,"4,313"
0,s -> t,34,155
0,t -> s,34,155
0,XMM,800,"4,852"
