grid number,Direction,Expansions,Time [ms]
0,s -> t,34,138
0,t -> s,34,136
0,XMM,311,"1,609"
0,s -> t,788,"3,996"
0,t -> s,742,"3,661"
0,XMM,421,"2,458"
0,s -> t,34,142
0,t -> s,34,143
0,XMM,270,"1,375"
0,s -> t,34,146
0,t -> s,34,137
0,XMM,305,"1,683"
0,s -> t,34,139
0,t -> s,34,140
0,XMM,352,"1,985"
0,s -> t,551,"2,393"
0,t -> s,628,"2,910"
0,XMM,430,"2,208"
0,s -> t,37,149
0,t -> s,34,134
0,XMM,737,"3,803"
0,s -> t,32,138
0,t -> s,32,133
0,XMM,299,"1,623"
0,s -> t,32,135
0,t -> s,537,"2,594"
0,XMM,446,"2,428"
0,s -> t,32,142
0,t -> s,32,139
0,XMM,745,"4,289"
