grid number,Direction,Expansions,Time [ms]
0,s -> t,115,475
0,t -> s,378,"1,527"
0,XMM,184,866
0,s -> t,279,"1,068"
0,t -> s,277,"1,036"
0,XMM,169,812
0,s -> t,65,218
0,t -> s,38,137
0,XMM,61,278
0,s -> t,30,100
0,t -> s,27,87
0,XMM,129,594
0,s -> t,204,821
0,t -> s,306,"1,370"
0,XMM,153,752
0,s -> t,273,"1,022"
0,t -> s,318,"1,252"
0,XMM,169,820
0,s -> t,101,395
0,t -> s,79,309
0,XMM,69,329
0,s -> t,282,974
0,t -> s,323,"1,122"
0,XMM,208,962
0,s -> t,28,90
0,t -> s,186,767
0,XMM,70,327
0,s -> t,248,997
0,t -> s,65,247
0,XMM,185,901
