grid number,Direction,Expansions,Time [ms]
0,s -> t,974,"5,964"
0,t -> s,411,"2,444"
0,XMM,542,"3,876"
0,s -> t,549,"3,642"
0,t -> s,686,"4,468"
0,XMM,302,"2,379"
0,s -> t,377,"2,425"
0,t -> s,360,"2,534"
0,XMM,734,"5,500"
0,s -> t,187,"1,006"
0,t -> s,393,"2,641"
0,XMM,662,"4,866"
0,s -> t,42,240
0,t -> s,42,239
0,XMM,299,"2,195"
0,s -> t,52,280
0,t -> s,64,356
0,XMM,264,"1,865"
0,s -> t,918,"6,018"
0,t -> s,116,684
0,XMM,673,"4,793"
0,s -> t,201,"1,317"
0,t -> s,"1,467","9,531"
0,XMM,111,878
0,s -> t,"1,962","12,705"
0,t -> s,193,"1,268"
0,XMM,"1,360","9,584"
0,s -> t,164,"1,037"
0,t -> s,563,"3,360"
0,XMM,179,"1,322"
