grid number,Direction,Expansions,Time [ms]
0,s -> t,833,"5,817"
0,t -> s,"3,633","25,466"
0,XMM,"1,289","9,896"
0,s -> t,41,285
0,t -> s,41,284
0,XMM,"1,319","11,907"
0,s -> t,649,"4,360"
0,t -> s,217,"1,566"
0,XMM,330,"2,247"
0,s -> t,"2,295","17,171"
0,t -> s,"2,860","20,760"
0,XMM,"2,187","17,851"
0,s -> t,49,293
0,t -> s,49,293
0,XMM,"3,775","30,161"
0,s -> t,"1,346","9,645"
0,t -> s,595,"4,221"
0,XMM,992,"7,721"
0,s -> t,47,310
0,t -> s,68,466
0,XMM,"7,293","64,319"
0,s -> t,49,279
0,t -> s,49,279
0,XMM,154,"1,209"
0,s -> t,"2,351","16,297"
0,t -> s,"3,365","23,486"
0,XMM,"1,923","14,800"
0,s -> t,189,"1,300"
0,t -> s,319,"1,924"
0,XMM,183,"1,415"
