grid number,Direction,Expansions,Time [ms]
0,s -> t,29,108
0,t -> s,29,101
0,XMM,568,"2,800"
0,s -> t,29,108
0,t -> s,29,108
0,XMM,404,"2,115"
0,s -> t,29,102
0,t -> s,29,105
0,XMM,186,936
0,s -> t,185,773
0,t -> s,208,901
0,XMM,119,625
0,s -> t,212,841
0,t -> s,144,622
0,XMM,142,659
0,s -> t,28,102
0,t -> s,150,634
0,XMM,50,267
0,s -> t,29,104
0,t -> s,29,103
0,XMM,402,"1,993"
0,s -> t,29,103
0,t -> s,29,103
0,XMM,198,960
0,s -> t,29,98
0,t -> s,32,115
0,XMM,421,"2,182"
0,s -> t,350,"1,340"
0,t -> s,372,"1,506"
0,XMM,258,"1,181"
