grid number,Direction,Expansions,Time [ms]
0,s -> t,295,"1,231"
0,t -> s,170,722
0,XMM,141,753
0,s -> t,44,136
0,t -> s,26,97
0,XMM,129,655
0,s -> t,48,205
0,t -> s,34,132
0,XMM,93,444
0,s -> t,255,973
0,t -> s,269,"1,051"
0,XMM,226,"1,034"
0,s -> t,40,153
0,t -> s,38,155
0,XMM,90,463
0,s -> t,369,"1,896"
0,t -> s,28,111
0,XMM,547,"2,925"
0,s -> t,125,517
0,t -> s,233,"1,021"
0,XMM,140,655
0,s -> t,32,108
0,t -> s,33,110
0,XMM,46,208
0,s -> t,30,106
0,t -> s,37,135
0,XMM,52,254
0,s -> t,30,112
0,t -> s,30,111
0,XMM,57,275
