grid number,Direction,Expansions,Time [ms]
0,s -> t,"162,348","1,768,936"
0,t -> s,"166,941","1,801,414"
0,XMM,"90,551","1,113,198"
0,s -> t,62,580
0,t -> s,"185,798","2,100,640"
0,XMM,"139,074","1,685,736"
0,s -> t,"206,098","2,161,239"
0,t -> s,"75,293","773,270"
0,XMM,"126,450","1,505,335"
0,s -> t,"110,581","1,090,260"
0,t -> s,"146,336","1,415,577"
0,XMM,"60,038","690,021"
0,s -> t,"73,203","750,568"
0,t -> s,"76,920","779,178"
0,XMM,"46,402","530,934"
0,s -> t,"512,816","5,209,685"
0,t -> s,"473,900","4,816,016"
0,XMM,"262,054","3,047,841"
0,s -> t,"144,320","1,395,982"
0,t -> s,"134,346","1,298,894"
0,XMM,"84,187","940,172"
0,s -> t,62,538
0,t -> s,62,543
0,XMM,"97,670","1,140,867"
0,s -> t,"84,712","845,760"
0,t -> s,"74,371","774,762"
0,XMM,"56,724","635,635"
0,s -> t,"125,800","1,227,183"
0,t -> s,"151,704","1,490,103"
0,XMM,"70,880","787,602"
