grid number,Direction,Expansions,Time [ms]
0,s -> t,293,"1,436"
0,t -> s,290,"1,214"
0,XMM,279,"1,507"
0,s -> t,164,770
0,t -> s,221,980
0,XMM,126,696
0,s -> t,28,114
0,t -> s,156,679
0,XMM,110,595
0,s -> t,32,136
0,t -> s,53,245
0,XMM,45,268
0,s -> t,91,387
0,t -> s,172,743
0,XMM,86,446
0,s -> t,168,697
0,t -> s,32,117
0,XMM,280,"1,384"
0,s -> t,30,123
0,t -> s,30,122
0,XMM,210,"1,119"
0,s -> t,102,414
0,t -> s,197,906
0,XMM,218,"1,146"
0,s -> t,99,418
0,t -> s,32,115
0,XMM,128,664
0,s -> t,507,"2,528"
0,t -> s,465,"2,115"
0,XMM,290,"1,715"
