grid number,Direction,Expansions,Time [ms]
0,s -> t,415,"1,943"
0,t -> s,29,115
0,XMM,557,"2,970"
0,s -> t,29,118
0,t -> s,29,119
0,XMM,856,"4,841"
0,s -> t,420,"1,833"
0,t -> s,253,"1,051"
0,XMM,306,"1,552"
0,s -> t,290,"1,279"
0,t -> s,227,990
0,XMM,211,"1,112"
0,s -> t,317,"1,409"
0,t -> s,532,"2,391"
0,XMM,175,"1,076"
0,s -> t,420,"1,769"
0,t -> s,253,"1,011"
0,XMM,306,"1,502"
0,s -> t,318,"1,352"
0,t -> s,99,423
0,XMM,214,"1,094"
0,s -> t,29,113
0,t -> s,29,113
0,XMM,932,"5,006"
0,s -> t,29,115
0,t -> s,29,118
0,XMM,881,"4,816"
0,s -> t,533,"2,329"
0,t -> s,317,"1,360"
0,XMM,330,"1,685"
