grid number,Direction,Expansions,Time [ms]
0,s -> t,"1,826","10,287"
0,t -> s,"1,359","7,710"
0,XMM,921,"6,110"
0,s -> t,"1,532","8,261"
0,t -> s,"5,468","30,940"
0,XMM,"1,538","9,931"
0,s -> t,"5,469","30,607"
0,t -> s,"1,532","8,298"
0,XMM,"2,489","17,204"
0,s -> t,36,181
0,t -> s,36,184
0,XMM,"1,144","7,673"
0,s -> t,"4,873","25,780"
0,t -> s,"5,512","29,753"
0,XMM,"2,501","16,636"
0,s -> t,"4,873","25,881"
0,t -> s,"5,512","29,857"
0,XMM,"2,501","16,556"
0,s -> t,36,173
0,t -> s,36,172
0,XMM,"1,139","7,139"
0,s -> t,"1,359","7,721"
0,t -> s,"1,826","10,300"
0,XMM,703,"4,698"
0,s -> t,"6,775","34,674"
0,t -> s,"6,102","34,895"
0,XMM,"2,766","17,041"
0,s -> t,"5,512","29,671"
0,t -> s,"4,873","26,913"
0,XMM,"2,592","16,836"
