grid number,Direction,Expansions,Time [ms]
0,s -> t,37,190
0,t -> s,652,"3,840"
0,XMM,496,"3,256"
0,s -> t,548,"3,060"
0,t -> s,"1,267","7,024"
0,XMM,287,"1,866"
0,s -> t,37,178
0,t -> s,37,179
0,XMM,252,"1,540"
0,s -> t,37,178
0,t -> s,524,"2,899"
0,XMM,398,"2,469"
0,s -> t,50,277
0,t -> s,472,"2,610"
0,XMM,75,482
0,s -> t,284,"1,444"
0,t -> s,459,"2,502"
0,XMM,182,"1,133"
0,s -> t,40,192
0,t -> s,37,174
0,XMM,919,"5,717"
0,s -> t,107,624
0,t -> s,136,685
0,XMM,169,"1,056"
0,s -> t,554,"2,881"
0,t -> s,552,"2,998"
0,XMM,286,"1,850"
0,s -> t,"2,132","11,817"
0,t -> s,"1,643","9,664"
0,XMM,914,"6,046"
