grid number,Direction,Expansions,Time [ms]
0,s -> t,48,340
0,t -> s,48,337
0,XMM,"8,591","84,611"
0,s -> t,"71,668","557,519"
0,t -> s,"72,012","554,494"
0,XMM,"32,791","314,735"
0,s -> t,"71,668","584,630"
0,t -> s,"72,012","606,791"
0,XMM,"32,791","332,489"
0,s -> t,48,346
0,t -> s,48,349
0,XMM,"10,671","103,091"
0,s -> t,"17,977","152,767"
0,t -> s,"68,632","596,296"
0,XMM,"16,459","161,993"
0,s -> t,"15,763","133,119"
0,t -> s,"19,762","169,851"
0,XMM,"8,010","81,984"
0,s -> t,48,349
0,t -> s,48,363
0,XMM,"8,063","79,566"
0,s -> t,48,341
0,t -> s,48,345
0,XMM,"8,803","86,672"
0,s -> t,48,351
0,t -> s,48,357
0,XMM,"6,023","60,504"
0,s -> t,"77,808","635,739"
0,t -> s,"77,365","645,639"
0,XMM,"31,667","312,706"
