grid number,Direction,Expansions,Time [ms]
0,s -> t,"3,818","31,949"
0,t -> s,"5,244","41,739"
0,XMM,"2,211","20,526"
0,s -> t,916,"6,987"
0,t -> s,500,"4,243"
0,XMM,488,"4,420"
0,s -> t,"9,291","83,390"
0,t -> s,"3,648","31,244"
0,XMM,"6,397","63,327"
0,s -> t,"3,537","27,288"
0,t -> s,"3,917","31,389"
0,XMM,"2,492","21,803"
0,s -> t,105,853
0,t -> s,56,435
0,XMM,"6,171","59,425"
0,s -> t,"7,578","66,377"
0,t -> s,"2,342","18,782"
0,XMM,"5,313","51,075"
0,s -> t,"4,518","38,369"
0,t -> s,"3,705","29,781"
0,XMM,"2,304","23,465"
0,s -> t,"69,451","576,130"
0,t -> s,"67,478","596,717"
0,XMM,"29,188","320,052"
0,s -> t,"3,284","27,693"
0,t -> s,"2,861","24,864"
0,XMM,"1,532","16,420"
0,s -> t,"63,904","539,191"
0,t -> s,"66,172","599,717"
0,XMM,"27,341","290,451"
