grid number,Direction,Expansions,Time [ms]
0,s -> t,444,"2,221"
0,t -> s,124,668
0,XMM,213,"1,317"
0,s -> t,"4,270","20,988"
0,t -> s,"4,270","21,522"
0,XMM,"1,939","12,344"
0,s -> t,234,"1,284"
0,t -> s,695,"3,264"
0,XMM,228,"1,377"
0,s -> t,285,"1,583"
0,t -> s,539,"2,726"
0,XMM,248,"1,518"
0,s -> t,638,"3,302"
0,t -> s,474,"2,544"
0,XMM,349,"2,094"
0,s -> t,619,"3,336"
0,t -> s,750,"4,004"
0,XMM,344,"2,199"
0,s -> t,32,155
0,t -> s,32,156
0,XMM,422,"2,705"
0,s -> t,400,"2,010"
0,t -> s,527,"2,778"
0,XMM,213,"1,341"
0,s -> t,310,"1,651"
0,t -> s,392,"1,946"
0,XMM,233,"1,425"
0,s -> t,32,154
0,t -> s,32,147
0,XMM,299,"1,882"
