grid number,Direction,Expansions,Time [ms]
0,s -> t,"3,891","23,545"
0,t -> s,"1,881","11,092"
0,XMM,"2,220","15,698"
0,s -> t,39,205
0,t -> s,39,205
0,XMM,"6,342","45,741"
0,s -> t,629,"3,714"
0,t -> s,"3,527","20,589"
0,XMM,503,"3,520"
0,s -> t,"1,875","11,028"
0,t -> s,"2,547","14,481"
0,XMM,"1,207","7,985"
0,s -> t,"2,224","13,738"
0,t -> s,"4,446","26,912"
0,XMM,"1,477","10,345"
0,s -> t,"4,044","22,763"
0,t -> s,"2,030","12,465"
0,XMM,"2,274","14,832"
0,s -> t,39,206
0,t -> s,39,206
0,XMM,"6,403","47,067"
0,s -> t,"1,881","11,032"
0,t -> s,"3,890","23,196"
0,XMM,987,"6,890"
0,s -> t,"2,195","13,450"
0,t -> s,"2,846","16,392"
0,XMM,"1,311","8,736"
0,s -> t,"1,334","7,700"
0,t -> s,"3,485","19,431"
0,XMM,827,"5,534"
