grid number,Direction,Expansions,Time [ms]
0,s -> t,176,665
0,t -> s,176,667
0,XMM,108,510
0,s -> t,24,74
0,t -> s,140,536
0,XMM,118,523
0,s -> t,162,569
0,t -> s,63,216
0,XMM,100,454
0,s -> t,24,77
0,t -> s,24,80
0,XMM,125,573
0,s -> t,86,292
0,t -> s,144,487
0,XMM,66,275
0,s -> t,24,78
0,t -> s,24,76
0,XMM,125,571
0,s -> t,176,656
0,t -> s,176,648
0,XMM,105,486
0,s -> t,176,671
0,t -> s,176,664
0,XMM,105,499
0,s -> t,87,318
0,t -> s,185,667
0,XMM,64,293
0,s -> t,162,575
0,t -> s,63,214
0,XMM,103,463
