grid number,Direction,Expansions,Time [ms]
0,s -> t,443,"2,134"
0,t -> s,615,"3,035"
0,XMM,325,"1,781"
0,s -> t,471,"2,592"
0,t -> s,390,"2,177"
0,XMM,303,"1,952"
0,s -> t,111,520
0,t -> s,116,606
0,XMM,120,682
0,s -> t,216,"1,061"
0,t -> s,35,154
0,XMM,268,"1,578"
0,s -> t,"2,004","10,779"
0,t -> s,"1,037","5,495"
0,XMM,"1,038","6,377"
0,s -> t,37,171
0,t -> s,73,369
0,XMM,594,"3,784"
0,s -> t,44,218
0,t -> s,129,624
0,XMM,54,370
0,s -> t,40,173
0,t -> s,37,164
0,XMM,468,"2,727"
0,s -> t,33,154
0,t -> s,258,"1,339"
0,XMM,172,"1,024"
0,s -> t,524,"2,986"
0,t -> s,194,"1,172"
0,XMM,308,"2,085"
