grid number,Direction,Expansions,Time [ms]
0,s -> t,"133,849","1,197,976"
0,t -> s,"96,513","901,059"
0,XMM,"75,258","844,428"
0,s -> t,55,457
0,t -> s,55,469
0,XMM,"105,753","1,224,527"
0,s -> t,"428,389","4,291,705"
0,t -> s,"393,467","3,629,107"
0,XMM,"195,793","2,114,202"
0,s -> t,55,392
0,t -> s,55,389
0,XMM,"146,181","1,484,420"
0,s -> t,55,399
0,t -> s,55,410
0,XMM,"108,353","1,114,213"
0,s -> t,"70,314","606,871"
0,t -> s,"100,614","869,326"
0,XMM,"48,149","479,704"
0,s -> t,"36,925","324,422"
0,t -> s,"41,821","363,961"
0,XMM,"21,222","217,619"
0,s -> t,247,"1,885"
0,t -> s,142,"1,139"
0,XMM,"66,758","662,629"
0,s -> t,"129,869","1,141,909"
0,t -> s,"43,008","367,759"
0,XMM,"71,846","725,470"
0,s -> t,"40,327","344,395"
0,t -> s,"43,904","390,043"
0,XMM,"22,501","219,106"
