Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XA*,112,251,180,426,225,683,928,2707
7x7,BiXA*,61,601,70,937,103,1758,386,5982
7x8,XA*,171,475,401,1279,579,1902,2210,7262
7x8,BiXA*,113,1083,274,4296,263,4530,942,15711
7x9,XA*,266,858,615,1927,1512,5612,1497,5945
7x9,BiXA*,175,2750,338,3924,1012,19067,952,19979
8x8,XA*,325,1019,596,2040,2192,7182,3073,12289
8x8,BiXA*,159,2514,289,4725,834,16965,1466,34981
8x9,XA*,457,1769,1641,6205,4566,17587,15001,67585
8x9,BiXA*,382,6402,995,19973,2321,46368,6048,174848
9x9,XA*,1537,6364,4647,20344,6647,32272,23043,119523
9x9,BiXA*,748,16095,2007,46903,3702,95466,11716,354390
