Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
6x6,A*,-,-,-,-,-,-,-,-,-,-
6x6,XMM,-,-,-,-,-,-,-,-,-,-
6x6,X-DFBnB,97,50,174,88,194,117,1168,584,-,-
6x6,BiX-DFBnB,26,58,40,84,66,134,501,989,-,-
6x7,A*,-,-,-,-,-,-,-,-,-,-
6x7,XMM,-,-,-,-,-,-,-,-,-,-
6x7,X-DFBnB,84,53,162,117,340,218,7532,4120,-,-
6x7,BiX-DFBnB,30,78,48,123,111,325,2070,4481,-,-
6x8,A*,-,-,-,-,-,-,-,-,-,-
6x8,XMM,-,-,-,-,-,-,-,-,-,-
6x8,X-DFBnB,129,99,978,692,1216,857,35500,20715,-,-
6x8,BiX-DFBnB,35,77,399,861,288,848,9485,22946,-,-
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,154,115,1058,738,1661,1247,26056,16567,-,-
7x7,BiX-DFBnB,39,124,353,892,686,1949,6880,16890,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,292,265,1185,1017,16928,13585,75606,56615,-,-
7x8,BiX-DFBnB,90,269,641,1841,5046,13926,22882,65278,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,2364,1874,6525,5483,47121,41630,-,-,-,-
8x8,BiX-DFBnB,1364,2686,2200,6668,20218,65727,-,-,-,-
