Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XDFBnB,132,284,218,511,406,1008,1120,3033
7x7,BiXDFBnB,649,1836,418,1750,1188,4267,3020,12926
7x8,XDFBnB,260,676,558,1688,1193,3499,2744,8787
7x8,BiXDFBnB,1906,4427,3356,11974,2442,12564,7990,41280
7x9,XDFBnB,452,1218,1137,3122,1828,6998,2526,10050
7x9,BiXDFBnB,1176,5641,6372,19646,5666,36892,8164,54197
8x8,XDFBnB,483,1281,673,2305,3031,9904,4878,17370
8x8,BiXDFBnB,1097,5650,2119,10821,6766,39257,22831,110935
8x9,XDFBnB,777,2622,1993,7942,7143,28529,20091,85786
8x9,BiXDFBnB,3292,15543,9587,54424,21801,153746,49789,386863
9x9,XDFBnB,1753,7066,8206,31782,10838,55853,38716,189413
9x9,BiXDFBnB,15070,64280,23415,160769,26668,249310,102859,968124
