Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XA*,561,1118,30949,73258,,
13x13,BiXA*,760,1311,21315,37781,,
