Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,4,4,4,4
4,BiXIDA,4,4,4,4
5,XIDA,53,91,53,91
5,BiXIDA,52,89,52,89
6,XIDA,12689,71145,12689,71146
6,BiXIDA,13424,73736,13424,73737
7,XIDA,3098279,63184568,,
7,BiXIDA,2842588,57985610,,
