Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XMM,4,3,7,5
4,XA*,,,5,3
4,BiXA*,7,5,,
5,XMM,35,50,55,95
5,XA*,,,36,50
5,BiXA*,39,72,,
6,XMM,6509,32012,17663,99242
6,XA*,,,6510,32087
6,BiXA*,4854,33064,,
7,BiXA*,82805,2302199,,
