Grid,Algorithm,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XA*,561,1089,30949,70860,,
13x13,BiXA*,269,1920,5920,56151,,
