Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
7x7,XIDA,257,1155,417,1174,495,1697,2015,6607
7x7,BiXIDA,1912,7979,685,4038,1078,6456,4309,25518
7x8,XIDA,497,1835,1435,5433,1553,6093,5201,18804
7x8,BiXIDA,1567,8082,4749,29313,2952,21151,11260,75247
7x9,XIDA,723,2675,2151,7986,3402,14850,3565,15724
7x9,BiXIDA,1529,10629,7607,39702,8888,69700,8991,77845
8x8,XIDA,939,3500,1632,6394,5264,20140,7364,32671
8x8,BiXIDA,1833,12636,3826,28475,10406,77254,15886,136443
8x9,XIDA,1635,7235,4879,22800,14922,67951,35116,161204
8x9,BiXIDA,7536,50000,16526,134898,41278,334463,71317,679946
9x9,XIDA,4902,23065,12902,60703,16436,86249,52814,321915
9x9,BiXIDA,14700,120202,30827,285240,38357,384271,120387,1396308
