Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XMM,108,109,146,166,208,237,829,1079
6x6,XA*,96,72,170,126,171,152,1071,834
6x7,XMM,93,128,228,265,357,433,2130,3447
6x7,XA*,82,86,152,148,312,287,6056,5225
6x8,XMM,148,191,920,1360,845,1319,9929,18043
6x8,XA*,114,117,846,865,1108,1117,24910,22544
7x7,XMM,158,212,816,1209,1880,2896,10199,17651
7x7,XA*,141,123,874,845,1585,1727,19676,21152
7x8,XMM,283,429,1830,3031,6722,12105,20298,43071
7x8,XA*,274,310,974,1252,13791,14278,62237,59951
8x8,XMM,2584,4733,3660,6859,16490,34675,,
8x8,XA*,2126,2595,4846,5872,31408,37320,,
