Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,1,1,1,2
4,BiXDFBnB,1,1,1,1
5,XDFBnB,3,41,24,71
5,BiXDFBnB,5,35,31,54
6,XDFBnB,8,412,1929,95306
6,BiXDFBnB,61,986,2040,54334
