Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,A*,-,-,-,-,-,-,-,-,-,-
7x7,XMM,-,-,-,-,-,-,-,-,-,-
7x7,X-DFBnB,97,268,113,415,153,745,825,3091,-,-
7x7,BiX-DFBnB,50,186,65,289,96,480,239,1278,-,-
7x8,A*,-,-,-,-,-,-,-,-,-,-
7x8,XMM,-,-,-,-,-,-,-,-,-,-
7x8,X-DFBnB,116,540,267,1344,475,2242,1316,6895,-,-
7x8,BiX-DFBnB,344,704,221,1074,299,1371,662,3538,-,-
7x9,A*,-,-,-,-,-,-,-,-,-,-
7x9,XMM,-,-,-,-,-,-,-,-,-,-
7x9,X-DFBnB,214,939,1140,3216,979,6635,1556,10040,-,-
7x9,BiX-DFBnB,172,777,384,1512,983,5224,1036,5875,-,-
8x8,A*,-,-,-,-,-,-,-,-,-,-
8x8,XMM,-,-,-,-,-,-,-,-,-,-
8x8,X-DFBnB,399,1145,363,1916,1667,8396,2667,15744,-,-
8x8,BiX-DFBnB,114,618,293,1548,653,4202,1717,9929,-,-
8x9,A*,-,-,-,-,-,-,-,-,-,-
8x9,XMM,-,-,-,-,-,-,-,-,-,-
8x9,X-DFBnB,343,2005,1113,7109,3422,21622,9804,67093,-,-
8x9,BiX-DFBnB,397,2040,957,6066,1817,11467,6635,43308,-,-
9x9,A*,-,-,-,-,-,-,-,-,-,-
9x9,XMM,-,-,-,-,-,-,-,-,-,-
9x9,X-DFBnB,977,5955,3859,24674,5055,42407,22354,151092,-,-
9x9,BiX-DFBnB,604,4197,2299,14362,4166,28612,10840,83272,-,-
