Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,1,1,1,2
4,BiXDFBnB,1,1,1,1
5,XDFBnB,3,41,24,72
5,BiXDFBnB,5,35,5,35
6,XDFBnB,8,410,1929,94693
6,BiXDFBnB,43,828,1026,34655
