Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XA*,4,3,5,3
4,BiXA*,1,1,1,2
5,XA*,35,50,36,50
5,BiXA*,5,36,32,55
6,XA*,6509,33674,6510,33747
6,BiXA*,1999,56769,2000,57289
7,BiXA*,18384,14451768,,
