Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,3,3,3,3
4,BiXDFBnB,3,4,3,4
5,XDFBnB,30,32,55,66
5,BiXDFBnB,11,27,56,142
6,XDFBnB,807,1350,7247,34219
6,BiXDFBnB,983,3084,11907,103824
