Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XA*,96,80,170,143,171,148,1071,989
6x6,BiXA*,46,33,91,62,122,93,999,831
6x7,XA*,82,72,152,143,312,334,6056,5975
6x7,BiXA*,60,61,88,76,213,235,4005,4174
6x8,XA*,114,149,846,1023,1108,2074,24910,22824
6x8,BiXA*,57,59,825,841,556,1056,17894,18608
7x7,XA*,141,197,874,856,1585,1802,19676,27511
7x7,BiXA*,70,85,686,704,1351,1395,13484,15020
7x8,XA*,274,301,974,1209,13791,14644,62237,62217
7x8,BiXA*,181,192,1266,1396,10141,10306,45619,42639
8x8,XA*,2126,4639,4846,6309,31408,38954,,
8x8,BiXA*,2697,3811,3731,4974,39311,53555,,
