Grid,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms]
6x6,XIDA,32,112,59,231,52,251,342,1322
6x6,BiXIDA,27,69,47,122,69,175,584,1390
6x7,XIDA,34,168,46,209,99,445,1992,8128
6x7,BiXIDA,37,117,57,170,134,443,2247,5401
6x8,XIDA,50,251,299,1368,308,1628,9623,38104
6x8,BiXIDA,46,130,512,1287,312,1061,10445,28159
7x7,XIDA,44,229,300,1448,416,2202,7870,34987
7x7,BiXIDA,43,156,422,1208,684,2016,7789,22218
7x8,XIDA,87,534,367,2273,4842,23301,19141,97978
7x8,BiXIDA,98,321,828,2620,5739,16939,24319,76431
8x8,XIDA,619,3472,2115,12337,13724,77836,70251,438816
8x8,BiXIDA,1821,4476,2650,9046,24855,89273,108360,293125
