Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,2,3,4,3
4,BiXDFBnB,2,3,2,3
5,XDFBnB,5,15,29,61
5,BiXDFBnB,5,13,9,18
6,XDFBnB,26,122,3727,43344
6,BiXDFBnB,512,2853,2190,18605
