=== LSP Grids ===
Grid,Lookahead,Algorithm,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x8,3,XDFBnB,,,,,,,,,,
7x8,3,BiXDFBnB,,,,,,,,,,
7x8,3,XIDA,207,1373,481,4923,497,5562,1735,19746,,
7x8,3,BiXIDA,797,5386,834,15656,619,12760,1988,42426,,
7x8,4,A*,,,,,,,,,,
7x8,4,XMM,,,,,,,,,,
7x8,4,XDFBnB,,,,,,,,,,
7x8,4,BiXDFBnB,,,,,,,,,,
7x8,4,XIDA,117,1310,350,5558,371,7212,1322,20266,,
7x8,4,BiXIDA,119,1512,369,5356,409,6756,1139,18522,,
