=== LSP Grids ===
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,BiXIDA,1,1499,2041,8450,11088,24768,33843,301415,404938,,
7x7,BiXIDA,2,572,422,3223,2234,7597,5779,100839,70539,,
7x7,BiXIDA,3,433,1482,2320,7384,5440,19131,71562,212543,,
7x7,BiXIDA,4,283,509,1658,3147,3790,8046,51132,99024,,
7x8,XIDA,1,339,301,1464,1338,19465,15118,79139,58318,,
7x8,XIDA,2,174,301,734,1379,9595,14730,38392,54045,,
7x8,XIDA,3,115,365,490,1666,6466,17914,26474,75548,,
7x8,XIDA,4,87,537,367,2284,4842,23050,19141,95840,,
7x8,BiXIDA,1,2493,3680,17648,28040,164059,232283,915802,1258896,,
7x8,BiXIDA,2,872,635,5518,4843,56721,42394,328142,223065,,
7x8,BiXIDA,3,595,2071,4003,16253,39148,134324,221400,754455,,
7x8,BiXIDA,4,427,948,2703,6815,29024,57651,159771,329840,,
8x8,XIDA,1,2606,2296,8354,7665,54007,44349,,,,
8x8,XIDA,2,1253,2093,4307,7842,27337,43604,,,,
8x8,XIDA,3,868,2825,2796,9066,17929,57378,,,,
8x8,XIDA,4,619,3450,2115,12165,13724,74740,,,,
8x8,BiXIDA,1,39904,65108,68295,113698,716996,1176708,,,,
8x8,BiXIDA,2,11844,9689,20462,18260,219751,187820,,,,
8x8,BiXIDA,3,8143,32077,15295,62959,163061,683479,,,,
8x8,BiXIDA,4,6065,11468,9929,26092,108768,268432,,,,

=== Snake Grids ===
Grid,Algorithm,Lookahead,20% Expansions,20% Time [ms],16% Expansions,16% Time [ms],12% Expansions,12% Time [ms],8% Expansions,8% Time [ms],4% Expansions,4% Time [ms]
7x7,XIDA,1,257,733,417,1211,495,1685,2015,6457,,
7x7,XIDA,2,132,576,207,971,258,1488,1070,5976,,
7x7,XIDA,3,84,666,141,1099,168,1544,694,7271,,
7x7,XIDA,4,63,724,98,1261,132,2353,558,9139,,
7x7,BiXIDA,1,1904,5422,680,4043,1067,6255,4305,24835,,
7x7,BiXIDA,2,151,575,186,947,242,1354,815,4421,,
7x7,BiXIDA,3,122,1719,156,2669,211,4008,792,15568,,
7x7,BiXIDA,4,71,765,101,1238,135,2131,426,6816,,
7x8,XIDA,1,497,1633,1435,5263,1553,5781,5201,19109,,
7x8,XIDA,2,239,1301,721,4390,758,5041,2551,16317,,
7x8,XIDA,3,207,1373,481,4923,497,5562,1735,19746,,
7x8,XIDA,4,117,1310,350,5558,371,7212,1322,20266,,
7x8,BiXIDA,1,1561,7291,4745,28233,2948,19640,11256,77486,,
7x8,BiXIDA,2,273,1364,766,4320,756,4472,2125,13246,,
7x8,BiXIDA,3,797,5386,834,15656,619,12760,1988,42426,,
7x8,BiXIDA,4,119,1512,369,5356,409,6756,1139,18522,,
7x9,XIDA,1,723,2754,2151,7990,3402,14723,3565,15713,,
7x9,XIDA,2,348,2170,1066,6596,1693,13155,1654,12006,,
7x9,XIDA,3,247,2603,755,6958,1205,16654,1102,15266,,
7x9,XIDA,4,176,2749,561,7995,906,20558,839,19103,,
7x9,BiXIDA,1,1522,10816,7600,39654,8880,70017,8984,77192,,
7x9,BiXIDA,2,458,2338,1004,4829,2730,16565,2275,13882,,
7x9,BiXIDA,3,385,6909,850,14215,2156,47652,2027,48520,,
7x9,BiXIDA,4,229,2829,468,5871,1373,24958,1197,22076,,
8x8,XIDA,1,939,3462,1632,6392,5264,20743,7364,33749,,
8x8,XIDA,2,504,2885,854,5648,2597,17144,3559,26481,,
8x8,XIDA,3,286,2788,594,5598,1735,18762,2550,36267,,
8x8,XIDA,4,239,3263,460,7328,1340,22296,1878,45915,,
8x8,BiXIDA,1,1824,12766,3820,28486,10402,78951,15878,140063,,
8x8,BiXIDA,2,430,2490,1052,6469,2159,15357,4049,26699,,
8x8,BiXIDA,3,379,7320,903,15969,1816,45136,3554,92591,,
8x8,BiXIDA,4,218,3162,515,8094,1173,22790,2102,45358,,
8x9,XIDA,1,1635,7137,4879,22349,14922,66029,35116,171958,,
8x9,XIDA,2,806,6563,2525,19869,7251,59221,17370,138620,,
8x9,XIDA,3,558,6222,1717,22339,4862,67528,11654,175627,,
8x9,XIDA,4,392,8960,1336,26740,3371,81629,8558,204205,,
8x9,BiXIDA,1,7529,49021,16515,131634,41272,316406,71312,696238,,
8x9,BiXIDA,2,1289,8473,3112,24555,6028,42210,16963,133171,,
8x9,BiXIDA,3,1166,24120,2826,74549,5607,139355,14309,430991,,
8x9,BiXIDA,4,684,10626,1726,36874,3009,58597,8841,204346,,
9x9,XIDA,1,4902,24378,12902,61234,16436,87733,,,,
9x9,XIDA,2,2537,20923,6640,51903,8259,77013,26532,269251,,
9x9,XIDA,3,1752,21694,4459,57004,5688,94973,17656,303992,,
9x9,XIDA,4,1366,25634,3272,79207,4221,118078,13239,395512,,
9x9,BiXIDA,1,14693,130394,30818,286401,38341,402566,,,,
9x9,BiXIDA,2,2378,18825,5637,42161,9094,70787,28876,250549,,
9x9,BiXIDA,3,2067,56689,5010,134006,8085,229131,24753,753903,,
9x9,BiXIDA,4,2165,26723,2984,68882,4483,99732,15517,361099,,

=== LSP Mazes ===
Grid,Algorithm,Lookahead,0 blocks Expansions,0 blocks Time [ms],1 block Expansions,1 block Time [ms],2 blocks Expansions,2 blocks Time [ms]
13x13,XIDA,1,3693,7477,,,,
13x13,XIDA,2,1879,6398,76597,310602,,
13x13,XIDA,3,1197,6167,49994,303799,,
13x13,XIDA,4,870,5555,38227,356671,,
13x13,BiXIDA,1,11219,54074,,,,
13x13,BiXIDA,2,2751,6160,53636,126732,,
13x13,BiXIDA,3,2035,17893,29842,294299,,
13x13,BiXIDA,4,1326,5251,27167,144285,,

=== CIB ===
Dimension,Algorithm,Lookahead,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XIDA,1,4,4,4,4
4,XIDA,2,2,3,6,5
4,XIDA,3,1,2,3,4
4,XIDA,4,1,2,2,4
4,BiXIDA,1,3,4,3,5
4,BiXIDA,2,2,3,2,3
4,BiXIDA,3,1,2,1,3
4,BiXIDA,4,1,2,1,2
5,XIDA,1,53,92,53,92
5,XIDA,2,15,59,34,98
5,XIDA,3,10,79,18,115
5,XIDA,4,6,111,28,142
5,BiXIDA,1,74,199,74,199
5,BiXIDA,2,26,69,26,69
5,BiXIDA,3,16,107,24,152
5,BiXIDA,4,7,66,34,115
6,XIDA,1,12689,70750,12689,70752
6,XIDA,2,7203,99361,7203,99363
6,XIDA,3,4522,143717,4522,143721
6,XIDA,4,3735,248591,3735,248598
6,BiXIDA,1,21332,216831,21332,216834
6,BiXIDA,2,7720,70369,7720,70370
6,BiXIDA,3,6048,243966,6048,243970
6,BiXIDA,4,4015,148871,4015,148873
