Dimension,Algorithm,Finding Expansions,Finding Time [ms],Proving Expansions,Proving Time [ms]
4,XDFBnB,3,3,3,3
4,BiXDFBnB,3,4,3,4
5,XDFBnB,30,30,55,63
5,BiXDFBnB,11,26,20,54
6,XDFBnB,807,1388,7247,35692
6,BiXDFBnB,915,2792,6163,59073
